plant_type,α=0.0,α=0.5,α=1.0
biofuel,0.0,0.0,0.0
gas,0.0,0.0,18.476660485551754
hydro,0.0,0.0,0.0
nuclear,24.838889270330974,1.758085805323255,1.7580858053233388
solar,0.0,0.0,0.0
wind,91.69500299747727,30.342503119902226,1.30775092832069
TOTAL,116.53389226780824,32.10058892522548,21.54249721919578
