alpha,cost_billions,emissions_megatons,new_capacity_GW,final_capacity_GW
0.0,220.38319454914898,44.839155117700074,74.99166871661038,97.05085919280089
0.1111111111111111,159.80983405110854,46.99670151022841,45.55565507691501,67.61484555310551
0.2222222222222222,156.32774271809927,47.519453723346096,42.61038300232463,64.66957347851513
0.3333333333333333,143.9880379729613,52.470671423346104,42.610383002324646,64.66957347851513
0.4444444444444444,139.87371786877645,54.79185295741436,42.40956667579403,64.46875715198452
0.5555555555555556,139.1994110784114,55.52341571161436,42.40956667579403,64.46875715198452
0.6666666666666666,136.46436473959423,59.579474061723715,40.03237897907079,62.09156945526128
0.7777777777777777,134.15606797133745,66.2799054574315,37.48964177432143,59.548832250511914
0.8888888888888888,132.14695268044423,75.05252883851317,35.33813810436547,57.39732858055595
1.0,125.09085884477022,507.270973627256,23.748546190436077,45.80773666662657
