alpha,total_cost_billions,total_emissions_MT,capex_cost_billions,opex_cost_billions,maintenance_cost_billions,ramp_penalty_millions,solve_time_seconds,status
0.0,279.8631177927278,49.01824518310795,167.61424332032811,34.69624431557201,77.5127700349099,39.8601219177186,3.892582893371582,optimal
0.1,168.02496824573984,51.0438545965563,73.4245167474671,43.58750525742874,50.969416979411996,43.529261431995586,9.118717908859253,optimal
0.2,160.6640148653143,52.3016532779787,66.65844177851112,44.43785557057127,49.506010123243165,61.70739298873095,8.958615064620972,optimal
0.30000000000000004,155.20028239701998,54.13791119704429,61.55903292830624,44.970205421647925,48.5891612362012,81.88281086460965,8.778686046600342,optimal
0.4,150.75912530683246,56.52337764485125,57.623693056219366,45.601568807248626,47.446771028554394,87.0924148100492,17.127580165863037,optimal
0.5,147.88862440982604,58.904839956892545,55.46329308750321,46.132123122117925,46.19071830353536,102.48989666956552,13.92806887626648,optimal
0.6000000000000001,141.11949911671323,67.2869420353214,51.75654906074046,44.50110055624296,44.72477161027407,137.07788945571477,8.816222906112671,optimal
0.7000000000000001,135.79775483556318,77.12200627921918,48.35953960504669,43.85215948299063,43.410507876056435,175.54787146942456,8.395316123962402,optimal
0.8,172.97889599965893,521.628114216199,45.59440774959557,86.26252396124168,41.01169403573659,110.27025308508662,5.872581958770752,optimal
0.9,172.02187917030383,528.1563514368154,44.44946395424845,86.56578071203958,40.88135396769265,125.28053632314924,5.910944938659668,optimal
1.0,122.17008726829104,315.7915510381676,25.814817334622177,60.53370253428404,35.5771291490448,244.4382503400224,4.093675136566162,optimal
